iter	Logloss
0	0.6576272986
1	0.6193090228
2	0.5786216469
3	0.5385778363
4	0.5104100495
5	0.4814174572
6	0.4530671189
7	0.4295598903
8	0.4117239231
9	0.393590818
10	0.3777604305
11	0.3616408638
12	0.3422507667
13	0.3322959203
14	0.3190936961
15	0.3050543214
16	0.2986183287
17	0.2860415593
18	0.273446363
19	0.2644747716
20	0.2538986757
21	0.2455229656
22	0.2359089845
23	0.2285978342
24	0.2221568673
25	0.2155567953
26	0.2072135076
27	0.2010056025
28	0.1938579663
29	0.1875955603
30	0.1816185578
31	0.1757422933
32	0.171015511
33	0.1649099831
34	0.1604478599
35	0.156940232
36	0.152361363
37	0.1475997843
38	0.143506506
39	0.1399659017
40	0.1365359837
41	0.1319859987
42	0.1293366502
43	0.1260974571
44	0.1237096926
45	0.1198141257
46	0.1166579106
47	0.1135863466
48	0.1106119144
49	0.1083593225
50	0.1061656971
51	0.1042240692
52	0.1020736737
53	0.09996708465
54	0.09820847177
55	0.09614602838
56	0.09455869604
57	0.09319677775
58	0.09123560931
59	0.09018182304
60	0.08862880672
61	0.08694925465
62	0.08513906316
63	0.08348900558
64	0.08131159136
65	0.0795330875
66	0.07894725626
67	0.07660422526
68	0.0747952773
69	0.07363533236
70	0.07254359554
71	0.07077562785
72	0.06949887503
73	0.06801770135
74	0.0672937525
75	0.06553357953
76	0.06431203419
77	0.06301021841
78	0.06201448845
79	0.0608603938
80	0.06014969994
81	0.05888993839
82	0.05787901464
83	0.05697863021
84	0.05604851389
85	0.05557228932
86	0.05514041952
87	0.05401849862
88	0.05297490936
89	0.052454997
90	0.05212418171
91	0.05125573927
92	0.05069307178
93	0.049972407
94	0.04888047234
95	0.04827923818
96	0.04724853086
97	0.04645275632
98	0.04586048695
99	0.04563491745
100	0.04521912322
101	0.0445430591
102	0.04378599819
103	0.04314558973
104	0.0426506188
105	0.04139924548
106	0.04090112897
107	0.04034206209
108	0.04022977617
109	0.0393650163
110	0.03851974326
111	0.03819135004
112	0.0377294403
113	0.03729405185
114	0.03690018913
115	0.03653958259
116	0.03595107492
117	0.03530895659
118	0.03472383191
119	0.03427994783
120	0.0336161891
121	0.03336870505
122	0.03277083975
123	0.03244960253
124	0.03199322936
125	0.031622016
126	0.03130840959
127	0.03069611076
128	0.03010390639
129	0.02990436925
130	0.02957541078
131	0.02934057127
132	0.02874588547
133	0.02863393869
134	0.02839905678
135	0.02798695078
136	0.02781658028
137	0.02710537205
138	0.02672346143
139	0.02649091115
140	0.02582653347
141	0.02540105377
142	0.02506538302
143	0.02471998158
144	0.02454041172
145	0.02431265755
146	0.02417507691
147	0.02388618866
148	0.02365606188
149	0.02346038394
150	0.02304813945
151	0.02276187536
152	0.02232244541
153	0.02209955375
154	0.02164839073
155	0.02143880495
156	0.02102862925
157	0.02085987818
158	0.02050924116
159	0.02026440104
160	0.01997454764
161	0.01978308785
162	0.01966131712
163	0.01943483333
164	0.01916529766
165	0.01891258227
166	0.01875254728
167	0.01864282898
168	0.01852133804
169	0.01835167552
170	0.0182020269
171	0.01810002702
172	0.01786294913
173	0.01753033353
174	0.01723395297
175	0.01707262639
176	0.01693433637
177	0.01674682623
178	0.01664489983
179	0.016609117
180	0.01648718517
181	0.01633214553
182	0.01616336337
183	0.01593810899
184	0.01571298039
185	0.0155762561
186	0.01546280577
187	0.01537591348
188	0.01526710947
189	0.01512364887
190	0.01493501813
191	0.01474863142
192	0.01464520995
193	0.01442070735
194	0.01434365739
195	0.01421240891
196	0.01401143464
197	0.01391801518
198	0.01374130122
199	0.01373419326
200	0.01368093588
201	0.01355268178
202	0.01349055288
203	0.01343595869
204	0.01335226145
205	0.01323397686
206	0.01304270643
207	0.01297647385
208	0.01287996109
209	0.01279869864
210	0.01267936976
211	0.01258728146
212	0.01253038248
213	0.01245780503
214	0.01235948066
215	0.0122735945
216	0.0121415787
217	0.01203756373
218	0.01191583398
219	0.01177954563
220	0.0116147541
221	0.01154160716
222	0.01144053429
223	0.01138474743
224	0.01130679449
225	0.01122327177
226	0.01110048359
227	0.01103080725
228	0.01091799
229	0.0108360323
230	0.01075978852
231	0.01065864711
232	0.01062063863
233	0.01053200044
234	0.0105083202
235	0.01036410783
236	0.01029447388
237	0.01025640887
238	0.01014506408
239	0.01007994221
240	0.009938062882
241	0.009892262492
242	0.009803988179
243	0.009695957846
244	0.009637757393
245	0.00956251975
246	0.009517346075
247	0.0094830138
248	0.009426469515
249	0.00937180467
250	0.009361055123
251	0.009338720879
252	0.009298748165
253	0.009226838402
254	0.009172560043
255	0.009045054193
256	0.008993777286
257	0.00895441221
258	0.008896919727
259	0.00887596892
260	0.008731603225
261	0.008631089238
262	0.008605213734
263	0.008598788311
264	0.008580618511
265	0.008520897549
266	0.008448813972
267	0.008385312935
268	0.008324346314
269	0.008213501061
270	0.008164024459
271	0.008058086239
272	0.008038810678
273	0.008018015314
274	0.008010621909
275	0.007996207455
276	0.007890772303
277	0.007859522026
278	0.007851790887
279	0.007828595352
280	0.007744396455
281	0.007720423707
282	0.007657937991
283	0.007648006636
284	0.007573265702
285	0.007557359707
286	0.007557359707
287	0.007542586322
288	0.007529370187
289	0.007445021501
290	0.007319219158
291	0.007274146521
292	0.007225272611
293	0.00721480286
294	0.007200229431
295	0.007185501265
296	0.007168653431
297	0.007128632671
298	0.007128632671
299	0.007099966271
300	0.007091176711
301	0.00709118095
302	0.007011975993
303	0.006984707161
304	0.006976805035
305	0.006970949097
306	0.006970826863
307	0.006935567586
308	0.006932990068
309	0.006930604734
310	0.00690379375
311	0.006891960346
312	0.006877177069
313	0.006877149514
314	0.006863871202
315	0.006828043147
316	0.006791298688
317	0.006760413701
318	0.006749902263
319	0.006732629083
320	0.006708479696
321	0.006683276128
322	0.006615494066
323	0.006595285143
324	0.006588783413
325	0.006582745889
326	0.006582197602
327	0.006499479647
328	0.00644574463
329	0.006428819781
330	0.006396404393
331	0.006375987743
332	0.006370769118
333	0.006361910316
334	0.006361848846
335	0.006361835421
336	0.006347801094
337	0.006340949618
338	0.006333136519
339	0.006333158422
340	0.00633312804
