iter	Passed	Remaining
403	7838	1862
404	7853	1842
405	7867	1821
406	7879	1800
407	7894	1780
408	7909	1759
409	7922	1739
410	7936	1718
411	7948	1697
412	7962	1677
413	7975	1656
414	7990	1636
415	8003	1616
416	8015	1595
417	8028	1574
418	8041	1554
419	8057	1534
420	8074	1515
421	8089	1495
422	8103	1475
423	8118	1455
424	8130	1434
425	8145	1414
426	8160	1395
427	8174	1375
428	8190	1355
429	8204	1335
430	8218	1315
431	8233	1296
432	8246	1276
433	8259	1256
434	8272	1236
435	8285	1216
436	8299	1196
437	8317	1177
438	8329	1157
439	8344	1137
440	8357	1118
441	8370	1098
442	8385	1079
443	8400	1059
444	8414	1039
445	8433	1021
446	8449	1001
447	8464	982
448	8479	963
449	8494	943
450	8510	924
451	8525	905
452	8540	886
453	8554	866
454	8568	847
455	8583	828
456	8599	809
457	8614	789
458	8630	770
459	8645	751
460	8660	732
461	8676	713
462	8690	694
463	8703	675
464	8717	656
465	8731	637
466	8744	617
467	8776	600
468	8791	581
469	8805	562
470	8820	543
471	8833	524
472	8846	505
473	8859	485
474	8872	466
475	8888	448
476	8902	429
477	8916	410
478	8932	391
479	8948	372
480	8962	354
481	8989	335
482	9003	316
483	9018	298
484	9034	279
485	9057	260
486	9075	242
487	9092	223
488	9107	204
489	9121	186
490	9136	167
491	9153	148
492	9169	130
493	9184	111
494	9197	92
495	9211	74
496	9225	55
497	9240	37
498	9253	18
499	9265	0
